,Object_code,Function_code,Title,Category_State,Category_Edstruments,Major_Category_Edstruments,State
500,,411,Library/Media Assistant,Salaries,Support Staff Salaries,Salaries,Colorado
501,,413,Speech/Language Paraprofessional,Salaries,Support Staff Salaries,Salaries,Colorado
502,,414,Student Monitor,Salaries,Support Staff Salaries,Salaries,Colorado
503,,415,"Teaching Assistant, Regular Education",Salaries,Teachers Salaries,Salaries,Colorado
504,,416,"Teaching Assistant, Special Education",Salaries,Special Education Salaries,Salaries,Colorado
505,,417,Teaching/Classroom Technician,Salaries,Teachers Salaries,Salaries,Colorado
506,,418,Tutor,Salaries,Support Staff Salaries,Salaries,Colorado
507,,419,"Teaching Assistant, Title I",Salaries,Teachers Salaries,Salaries,Colorado
508,,420,Braillist,Salaries,Special Education Salaries,Salaries,Colorado
509,,421,Occupational Therapist Assistant,Salaries,Support Staff Salaries,Salaries,Colorado
510,,422,Physical Therapist Assistant,Salaries,Support Staff Salaries,Salaries,Colorado
511,,423,School-to-Work Alliance Program (SWAP) Specialist,Salaries,Support Staff Salaries,Salaries,Colorado
512,,424,Health Screener,Salaries,Support Staff Salaries,Salaries,Colorado
513,,425,Temporary/Part-time Worker (As needed),Salaries,Other Salaries,Salaries,Colorado
514,,426,Temporary/Part-time Worker (As needed),Salaries,Other Salaries,Salaries,Colorado
515,,500,Business/Office/Administrative Support,Salaries,Support Staff Salaries,Salaries,Colorado
516,,501,Bookkeeping/Accounting/Auditing/Cashier/Payroll,Salaries,Other Salaries,Salaries,Colorado
517,,502,Human Resources/Personnel,Salaries,Support Staff Salaries,Salaries,Colorado
518,,504,Dispatcher,Salaries,Support Staff Salaries,Salaries,Colorado
519,,505,Print Shop Operator,Salaries,Other Salaries,Salaries,Colorado
520,,506,General Office/Secretary,Salaries,Support Staff Salaries,Salaries,Colorado
521,,507,Mail Handler/Messenger,Salaries,Other Salaries,Salaries,Colorado
522,,509,Office Manager/Supervisor,Salaries,Administrative Salaries,Salaries,Colorado
523,,510,Purchasing Agent,Salaries,Other Salaries,Salaries,Colorado
524,,511,Receptionist/Switchboard Operator,Salaries,Other Salaries,Salaries,Colorado
525,,514,Temporary/Part-time Worker (As Needed),Salaries,Other Salaries,Salaries,Colorado
526,,515,Records Clerk/Data Entry,Salaries,Support Staff Salaries,Salaries,Colorado
527,,516,Registrar,Salaries,Other Salaries,Salaries,Colorado
528,,600,"Crafts, Trades and Services",Salaries,Other Salaries,Salaries,Colorado
529,,601,Brick Mason,Salaries,Other Salaries,Salaries,Colorado
530,,602,Bus Driver,Salaries,Support Staff Salaries,Salaries,Colorado
531,,603,Carpenter,Salaries,Other Salaries,Salaries,Colorado
532,,604,Cement Mason,Salaries,Other Salaries,Salaries,Colorado
533,,606,Construction Laborer,Salaries,Other Salaries,Salaries,Colorado
534,,607,Cook/Food Preparer/Caterer/Server,Salaries,Other Salaries,Salaries,Colorado
535,,608,Custodian,Salaries,Support Staff Salaries,Salaries,Colorado
536,,609,Dietary Technician/Coordinator,Salaries,Other Salaries,Salaries,Colorado
537,,610,Electrical and Electronic Repairer,Salaries,Support Staff Salaries,Salaries,Colorado
538,,611,Electrician,Salaries,Support Staff Salaries,Salaries,Colorado
539,,612,Facilities Maintenance Worker,Salaries,Support Staff Salaries,Salaries,Colorado
540,,613,Foreman/Group Leader/Lead Worker/Food Services Head Cook,Salaries,Support Staff Salaries,Salaries,Colorado
541,,616,"Freight, Stock and Materials Handler",Salaries,Other Salaries,Salaries,Colorado
542,,617,Garage Worker,Salaries,Other Salaries,Salaries,Colorado
543,,619,Grounds keeper,Salaries,Support Staff Salaries,Salaries,Colorado
544,,620,"Heating, Ventilating and Air Conditioning (HVAC) Specialist",Salaries,Support Staff Salaries,Salaries,Colorado
545,,621,Inspector,Salaries,Other Salaries,Salaries,Colorado
546,,622,Locksmith,Salaries,Other Salaries,Salaries,Colorado
547,,623,Maintenance Repairer/General Utility Worker,Salaries,Support Staff Salaries,Salaries,Colorado
548,,624,Painter and Paperhanger,Salaries,Other Salaries,Salaries,Colorado
549,,625,Parking Lot Attendant,Salaries,Other Salaries,Salaries,Colorado
550,,626,Plumber,Salaries,Support Staff Salaries,Salaries,Colorado
551,,627,Print Shop Operator [Printer],Salaries,Other Salaries,Salaries,Colorado
552,,629,Service Technician (vehicle mechanic),Salaries,Other Salaries,Salaries,Colorado
553,,630,Vehicle Operator,Salaries,Other Salaries,Salaries,Colorado
554,,632,Temporary/Part-time Worker (As Needed),Salaries,Other Salaries,Salaries,Colorado
555,,633,Temporary/Part-time Worker (Regularly Scheduled),Salaries,Other Salaries,Salaries,Colorado
556,,634,Student Worker,Salaries,Other Salaries,Salaries,Colorado
557,,635,Armed Security Guard,Salaries,Other Salaries,Salaries,Colorado
558,,636,Unarmed Security Guard,Salaries,Other Salaries,Salaries,Colorado
559,120,,Salaries of Temporary Employees,Salaries,Other Salaries,Salaries,Colorado
560,130,,Salaries for Overtime,Salaries,Other Salaries,Salaries,Colorado
561,140,,Salaries for Leave,Salaries,Other Salaries,Salaries,Colorado
562,150,,Additional/Extra Duty Pay/Stipend,Salaries,Other Salaries,Salaries,Colorado
563,160,,Post-Employment Salaries,Salaries,Other Salaries,Salaries,Colorado
564,190,,Other Salaries,Salaries,Other Salaries,Salaries,Colorado
565,210,,Life and Disability Insurance,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Colorado
566,211,,Life Insurance,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Colorado
567,212,,Accidental Death and Disability,Employee Benefits,Other Employee Benefits,Employee Benefits,Colorado
568,213,,Long-term Disability,Employee Benefits,Other Employee Benefits,Employee Benefits,Colorado
569,215,,Unemployment,Employee Benefits,Unemployment Benefits,Employee Benefits,Colorado
570,216,,Worker’s Compensation,Employee Benefits,Workers Compensation,Employee Benefits,Colorado
571,214,,Short-term Disability,Employee Benefits,Other Employee Benefits,Employee Benefits,Colorado
572,219,,Other Life and Disability Insurance,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Colorado
573,220,,Federally Mandated Insurance,Employee Benefits,Other Employee Benefits,Employee Benefits,Colorado
574,221,,Medicare,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Colorado
575,222,,Social Security,Employee Benefits,Retirement Contributions,Employee Benefits,Colorado
576,230,,PERA/Retirement Contributions,Employee Benefits,Retirement Contributions,Employee Benefits,Colorado
577,240,,Tuition Reimbursement,Employee Benefits,Tuition,Employee Benefits,Colorado
578,250,,Health Benefits,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Colorado
579,251,,Health,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Colorado
580,252,,Dental,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Colorado
581,253,,Vision,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Colorado
582,254,,Cancer,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Colorado
583,260,,Post-Employment Benefits,Employee Benefits,Retirement Contributions,Employee Benefits,Colorado
584,280,,On Behalf Payments,Employee Benefits,Other Employee Benefits,Employee Benefits,Colorado
585,290,,Other Employee Benefits,Employee Benefits,Other Employee Benefits,Employee Benefits,Colorado
586,310,,Administrative Services,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
587,311,,Treasurer’s Collection Fee,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
588,312,,Election Fees,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
589,313,,Banking Service Fees,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
590,314,,Paying Agent Fees,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
591,320,,Professional-Educational Services,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
592,330,,Other Professional Services,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
593,331,,Legal Services,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
594,332,,Audit Services,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
595,333,,Negotiations Services,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
596,334,,Consultant Services,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
597,335,,Medical Services,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
598,339,,Other Professional Services,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
599,340,,Technical Services,Purchased Professional and Technical Services,Purchased Professional Services,Purchased Professional and Technical Services,Colorado
600,350,,Employee Training and Development Services,Purchased Professional and Technical Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
601,390,,Other Purchased Professional and Technical Services,Purchased Professional and Technical Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
602,410,,Utility Services,Purchased Property Services,Utilities/Energy,Purchased Property Services,Colorado
603,411,,Water/Sewage,Purchased Property Services,Utilities/Energy,Purchased Property Services,Colorado
604,420,,Cleaning Services,Purchased Property Services,Maintenance Costs,Purchased Property Services,Colorado
605,421,,Disposal Services,Purchased Property Services,Maintenance Costs,Purchased Property Services,Colorado
606,422,,Snow Removal Services,Purchased Property Services,Maintenance Costs,Purchased Property Services,Colorado
607,423,,Custodial Services,Purchased Property Services,Maintenance Costs,Purchased Property Services,Colorado
608,424,,Lawn Care,Purchased Property Services,Maintenance Costs,Purchased Property Services,Colorado
609,425,,Laundry Services,Purchased Property Services,Maintenance Costs,Purchased Property Services,Colorado
610,430,,Repairs and Maintenance Services,Purchased Property Services,Maintenance Costs,Purchased Property Services,Colorado
611,431,,Non-technology Related Repairs and Maintenance,Purchased Property Services,Maintenance Costs,Purchased Property Services,Colorado
612,432,,Technology Related Repairs and Maintenance,Purchased Property Services,Maintenance Costs,Purchased Property Services,Colorado
613,440,,Rentals,Purchased Property Services,Rentals,Purchased Property Services,Colorado
614,441,,Rental of Land and Buildings,Purchased Property Services,Rentals,Purchased Property Services,Colorado
615,442,,Rental of Equipment,Purchased Property Services,Rentals,Purchased Property Services,Colorado
616,443,,Rental of Vehicles,Purchased Property Services,Rentals,Purchased Property Services,Colorado
617,444,,Rental of Buses,Purchased Property Services,Rentals,Purchased Property Services,Colorado
618,445,,Rental of Supplies,Purchased Property Services,Rentals,Purchased Property Services,Colorado
619,450,,Contractor Services,Purchased Property Services,Other Property Services,Purchased Property Services,Colorado
620,490,,Other Purchased Property Services,Purchased Property Services,Other Property Services,Purchased Property Services,Colorado
621,500,,Other Purchased Services,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
622,510,,Student Transportation Services,Other Purchased Services,Busing/Transportation,Purchased Professional and Technical Services,Colorado
623,511,,Student Transportation Purchased WITHIN the BOCES (or Administrative Unit (AU)),Other Purchased Services,Busing/Transportation,Purchased Professional and Technical Services,Colorado
624,512,,Student Transportation Purchased from Other Colorado Districts or BOCES (or AU’s),Other Purchased Services,Busing/Transportation,Purchased Professional and Technical Services,Colorado
625,513,,Contracted Field Trips,Other Purchased Services,Travel,Purchased Professional and Technical Services,Colorado
626,514,,Student Transportation Purchased from Parents,Other Purchased Services,Busing/Transportation,Purchased Professional and Technical Services,Colorado
627,515,,Student Transportation Purchased from Contractors,Other Purchased Services,Busing/Transportation,Purchased Professional and Technical Services,Colorado
628,516,,Student Transportation In-service,Other Purchased Services,Busing/Transportation,Purchased Professional and Technical Services,Colorado
629,517,,Student Transportation Purchased from School Districts Outside the State,Other Purchased Services,Busing/Transportation,Purchased Professional and Technical Services,Colorado
630,519,,Other Purchased Student Transportation,Other Purchased Services,Busing/Transportation,Purchased Professional and Technical Services,Colorado
631,520,,Insurance Premiums,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
632,521,,Liability Insurance,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
633,522,,Property Insurance,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
634,523,,Vehicle Insurance,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
635,524,,Fidelity Insurance,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
636,525,,Unemployment Compensation Insurance,Other Purchased Services,Unemployment Benefits,Employee Benefits,Colorado
637,526,,Workers’ Compensation Insurance,Other Purchased Services,Workers Compensation,Employee Benefits,Colorado
638,527,,District Multiple-Coverage Insurance and/or Other District Insurance,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
639,528,,District Student Insurance,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
640,529,,Contra Account Object for Offset of Internal Service Fund(s) Revenue,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
641,530,,Communications,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
642,540,,Advertising,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
643,550,,"Printing and Binding Expenditures for job printing and  binding, usually according to specifications of the school district",Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
644,560,,Tuition,Other Purchased Services,Tuition,Employee Benefits,Colorado
645,561,,Tuition Paid WITHIN the BOCES (or AU),Other Purchased Services,Tuition,Employee Benefits,Colorado
646,562,,Tuition Paid to Other Colorado Districts or BOCES (or AU’s),Other Purchased Services,Tuition,Employee Benefits,Colorado
647,563,,Tuition to School Districts Outside the State,Other Purchased Services,Tuition,Employee Benefits,Colorado
648,564,,Tuition to Private Sources,Other Purchased Services,Tuition,Employee Benefits,Colorado
649,565,,Tuition to Agencies with Colorado Department of Education-Approved Rates,Other Purchased Services,Tuition,Employee Benefits,Colorado
650,566,,This Object Code should now be used only for positive or negative adjustments to previous Out of District withholdings due to Colorado Department of Education (CDE) audit findings,Other Purchased Services,Tuition,Employee Benefits,Colorado
651,569,,Tuition - Other,Other Purchased Services,Tuition,Employee Benefits,Colorado
652,570,,Food Service Management,Other Purchased Services,Food,Other Financing Uses,Colorado
653,572,,Fixed Fee Contracts,Other Purchased Services,Miscellaneous,Other Financing Uses,Colorado
654,580,,"Travel, Registration, and Entrance",Other Purchased Services,Travel,Purchased Professional and Technical Services,Colorado
655,581,,"In-state travel, registration, and entrance",Other Purchased Services,Travel,Purchased Professional and Technical Services,Colorado
656,582,,"Out-of-state travel, registration, and entrance",Other Purchased Services,Travel,Purchased Professional and Technical Services,Colorado
657,583,,Mileage Reimbursement,Other Purchased Services,Travel,Purchased Professional and Technical Services,Colorado
658,590,,Other Purchased Services,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
659,591,,Services Purchased WITHIN the BOCES (or AU),Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
660,592,,Services Purchased from Other Colorado Districts or BOCES (or AU’s),Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
661,593,,Services Purchased from School Districts Outside the State,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
662,594,,Purchased Services from Districts by Charter Schools,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
663,595,,Purchased Administrative Overhead Costs,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
664,596,,Purchased Services from Charter School Food Authority and its’ Related Schools,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
665,597,,Purchased Services by Charter Schools,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
666,599,,Services Purchased from Other Sources,Other Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Colorado
667,610,,General Supplies,Supplies,Other Supplies,Supplies,Colorado
668,620,,Energy,Supplies,Utilities/Energy,Purchased Property Services,Colorado
669,621,,Natural Gas,Supplies,Utilities/Energy,Purchased Property Services,Colorado
670,622,,Electricity,Supplies,Utilities/Energy,Purchased Property Services,Colorado
671,623,,Bottled Gas,Supplies,Utilities/Energy,Purchased Property Services,Colorado
672,624,,Oil,Supplies,Utilities/Energy,Purchased Property Services,Colorado
673,625,,Coal,Supplies,Utilities/Energy,Purchased Property Services,Colorado
674,626,,Motor Vehicle Fuels,Supplies,Utilities/Energy,Purchased Property Services,Colorado
675,629,,Other,Supplies,Other Supplies,Supplies,Colorado
676,630,,Food,Supplies,Food,Other Financing Uses,Colorado
677,632,,USDA Donated Food Fees,Supplies,Food,Other Financing Uses,Colorado
678,633,,USDA Donated Foods,Supplies,Food,Other Financing Uses,Colorado
679,640,,Books and Periodicals,Supplies,Instructional Curriculum,Supplies,Colorado
680,650,,Electronic Media Materials,Supplies,Supplies - Technology,Supplies,Colorado
681,690,,Other Supplies,Supplies,Other Supplies,Supplies,Colorado
682,710,,Land and Improvements,Capital Outlay,Land,Capital,Colorado
683,720,,Buildings,Capital Outlay,Buildings,Capital,Colorado
684,721,,Lease Holding Improvements,Capital Outlay,Buildings,Capital,Colorado
685,722,,New Construction,Capital Outlay,Buildings,Capital,Colorado
686,723,,Major Renovations,Capital Outlay,Buildings,Capital,Colorado
687,730,,Equipment,Capital Outlay,Machinery and Equipment,Capital,Colorado
688,731,,Machinery,Capital Outlay,Machinery and Equipment,Capital,Colorado
689,732,,Vehicles,Capital Outlay,Machinery and Equipment,Capital,Colorado
690,733,,Furniture and Fixtures,Capital Outlay,Machinery and Equipment,Capital,Colorado
691,734,,Technology Equipment,Capital Outlay,Machinery and Equipment,Capital,Colorado
692,735,,Non-Capital Equipment,Capital Outlay,Machinery and Equipment,Capital,Colorado
693,739,,Other Equipment,Capital Outlay,Machinery and Equipment,Capital,Colorado
694,740,,Depreciation,Capital Outlay,Other Capital,Capital,Colorado
695,745,,Amortization,Capital Outlay,Other Capital,Capital,Colorado
696,750,,Loss on Disposal,Capital Outlay,Other Capital,Capital,Colorado
697,760,,Infrastructure,Capital Outlay,Other Capital,Capital,Colorado
698,770,,Lease,Capital Outlay,Other Capital,Capital,Colorado
699,790,,Other Property,Capital Outlay,Buildings,Capital,Colorado
700,810,,Dues and Fees,Other Objects,Miscellaneous,Other Financing Uses,Colorado
701,820,,Judgments Against the School District,Other Objects,Miscellaneous,Other Financing Uses,Colorado
702,830,,Interest on Leases,Other Objects,Miscellaneous,Other Financing Uses,Colorado
703,831,,Long-term Interest,Other Objects,Miscellaneous,Other Financing Uses,Colorado
704,832,,Short-term Interest,Other Objects,Miscellaneous,Other Financing Uses,Colorado
705,833,,Interest on Leases,Other Objects,Miscellaneous,Other Financing Uses,Colorado
706,839,,Other Interest,Other Objects,Miscellaneous,Other Financing Uses,Colorado
707,840,,Contingency,Other Objects,Miscellaneous,Other Financing Uses,Colorado
708,850,,Internal Charge/Reimbursement Accounts,Other Objects,Miscellaneous,Other Financing Uses,Colorado
709,851,,Transportation/Field trips,Other Objects,Busing/Transportation,Purchased Professional and Technical Services,Colorado
710,852,,Maintenance,Other Objects,Maintenance Costs,Purchased Property Services,Colorado
711,853,,Technology/MIS,Other Objects,Miscellaneous,Other Financing Uses,Colorado
712,854,,Printing/Duplicating,Other Objects,Miscellaneous,Other Financing Uses,Colorado
713,855,,School-wide Plan Distribution (For use by districts with Consolidated School-wide plans only)  Object codes 0856 through 0859 are available for district use,Other Objects,Miscellaneous,Other Financing Uses,Colorado
714,860,,Miscellaneous Internal Charge Accounts,Other Objects,Miscellaneous,Other Financing Uses,Colorado
715,868,,Overhead Costs,Other Objects,Miscellaneous,Other Financing Uses,Colorado
716,869,,Indirect Costs,Other Objects,Miscellaneous,Other Financing Uses,Colorado
717,870,,Scholarship Awards,Other Objects,Miscellaneous,Other Financing Uses,Colorado
718,890,,Miscellaneous Expenditures,Other Objects,Miscellaneous,Other Financing Uses,Colorado
719,910,,Redemption of Principal,Other Uses of Funds,Miscellaneous,Other Financing Uses,Colorado
720,911,,Long-term Principal,Other Uses of Funds,Miscellaneous,Other Financing Uses,Colorado
721,912,,Short-term Principal,Other Uses of Funds,Miscellaneous,Other Financing Uses,Colorado
722,913,,Principal on Financing Arrangements (Leases),Other Uses of Funds,Miscellaneous,Other Financing Uses,Colorado
723,919,,Other Principal,Other Uses of Funds,Miscellaneous,Other Financing Uses,Colorado
724,920,,Housing Authority Obligations,Other Uses of Funds,Miscellaneous,Other Financing Uses,Colorado
725,940,,Payments to Escrow Agents,Other Uses of Funds,Miscellaneous,Other Financing Uses,Colorado
726,950,,Initial Outlay from Capital Lease (Which is not Capital Outlay),Other Uses of Funds,Other Capital,Capital,Colorado
727,960,,Payment to Outside Entity,Other Uses of Funds,Miscellaneous,Other Financing Uses,Colorado
728,970,,Special Items,Other Uses of Funds,Miscellaneous,Other Financing Uses,Colorado
729,971,,Extraordinary Items,Other Uses of Funds,Miscellaneous,Other Financing Uses,Colorado
730,990,,Other Miscellaneous Uses of Funds,Other Uses of Funds,Miscellaneous,Other Financing Uses,Colorado
731,51010,,Salaries Paid to Teachers,Wages,Teachers Salaries,Salaries,Connecticut
732,51020,,Salaries Paid to Instructional Aides or Assistants,Wages,Support Staff Salaries,Salaries,Connecticut
733,51030,,Salaries Paid to Substitute Teachers,Wages,Teachers Salaries,Salaries,Connecticut
734,51110,,Salaries of Regular Employees Paid to Teachers,Wages,Teachers Salaries,Salaries,Connecticut
735,51120,,Salaries of Regular Employees Paid to Instructional Aides and Assistants,Wages,Support Staff Salaries,Salaries,Connecticut
736,51130,,Salaries of Regular Employees Paid to Substitute Teachers,Wages,Teachers Salaries,Salaries,Connecticut
737,51200,,Salaries of Temporary Employees,Wages,Other Salaries,Salaries,Connecticut
738,51210,,Salaries of Temporary Employees Paid to Teachers,Wages,Teachers Salaries,Salaries,Connecticut
739,51220,,Salaries of Temporary Employees Paid to Instructional Aides and Assistants,Wages,Support Staff Salaries,Salaries,Connecticut
740,51230,,Salaries of Temporary Employees Paid to Substitute Teachers,Wages,Teachers Salaries,Salaries,Connecticut
741,51300,,Salaries for Overtime,Wages,Other Salaries,Salaries,Connecticut
742,51310,,Salaries for Overtime Employees Paid to Teachers,Wages,Teachers Salaries,Salaries,Connecticut
743,51320,,Salaries for Overtime Employees Paid to Instructional Aides and Assistants,Wages,Support Staff Salaries,Salaries,Connecticut
744,51330,,Salaries for Overtime Employees Paid to Substitute Teachers,Wages,Teachers Salaries,Salaries,Connecticut
745,51400,,Salaries for Sabbatical Leave,Wages,Other Salaries,Salaries,Connecticut
746,51410,,Salaries for Sabbatical Leave Paid to Teachers,Wages,Teachers Salaries,Salaries,Connecticut
747,51420,,Salaries for Sabbatical Leave Paid to Instructional Aides and Assistants,Wages,Support Staff Salaries,Salaries,Connecticut
748,51430,,Salaries for Sabbatical Leave Paid to Substitute Teachers,Wages,Teachers Salaries,Salaries,Connecticut
749,51500,,Additional Compensation Such as Bonuses or Incentives,Wages,Other Salaries,Salaries,Connecticut
750,51510,,Additional Compensation Paid to Teachers,Wages,Teachers Salaries,Salaries,Connecticut
751,51520,,Additional Compensation Paid to Instructional Aides and Assistants,Wages,Support Staff Salaries,Salaries,Connecticut
752,51530,,Additional Compensation Paid to Substitute Teachers,Wages,Teachers Salaries,Salaries,Connecticut
753,,200,Special Education,Wages,Special Education Salaries,Salaries,Connecticut
754,51900,,Other Salaries,Wages,Other Salaries,Salaries,Connecticut
755,52020,,Employee Benefits for Teachers,Employee Benefits,Other Employee Benefits,Employee Benefits,Connecticut
756,52030,,Employee Benefits for Inst Aides or Assistants,Employee Benefits,Other Employee Benefits,Employee Benefits,Connecticut
757,52040,,Employee Benefits for Substitue Teachers,Employee Benefits,Other Employee Benefits,Employee Benefits,Connecticut
758,52100,,Group Insurance,Employee Benefits,Group Insurance,Employee Benefits,Connecticut
759,52110,,Group Insurance for Teachers,Employee Benefits,Group Insurance,Employee Benefits,Connecticut
760,52120,,Group Insurance for Instr Aides or Assistants,Employee Benefits,Group Insurance,Employee Benefits,Connecticut
761,52130,,Group Insurance for Substitute Teachers,Employee Benefits,Group Insurance,Employee Benefits,Connecticut
762,52200,,Employer Share Social Security Contributions,Employee Benefits,Retirement Contributions,Employee Benefits,Connecticut
763,52210,,Social Security Payments for Teachers,Employee Benefits,Retirement Contributions,Employee Benefits,Connecticut
764,52220,,Social Security Payments for Instr Aides or Assistants,Employee Benefits,Retirement Contributions,Employee Benefits,Connecticut
765,52230,,Social Security Payments for Substitute Teachers,Employee Benefits,Retirement Contributions,Employee Benefits,Connecticut
766,52300,,Retirement Contributions,Employee Benefits,Retirement Contributions,Employee Benefits,Connecticut
767,52310,,Retirement Contributions for Teachers,Employee Benefits,Retirement Contributions,Employee Benefits,Connecticut
768,52320,,Retirement Contributions for Instr Aides or Assistants,Employee Benefits,Retirement Contributions,Employee Benefits,Connecticut
769,52330,,Retirement Contributions for Substitute Teachers,Employee Benefits,Retirement Contributions,Employee Benefits,Connecticut
770,52400,,On-Behalf Payments,Employee Benefits,Other Employee Benefits,Employee Benefits,Connecticut
771,52410,,On-Behalf Payments for Teachers,Employee Benefits,Other Employee Benefits,Employee Benefits,Connecticut
772,52420,,On-Behalf Payments for Instr Aides or Assistants,Employee Benefits,Other Employee Benefits,Employee Benefits,Connecticut
773,52430,,On-Behalf Payments for Substitute Teachers,Employee Benefits,Other Employee Benefits,Employee Benefits,Connecticut
774,52500,,Tuition Reimbursement,Employee Benefits,Tuition,Employee Benefits,Connecticut
775,52510,,Tuition Reimbursement for Teachers,Employee Benefits,Tuition,Employee Benefits,Connecticut
776,52520,,Tuition Reimbursement for Instr Aides or Assistants,Employee Benefits,Tuition,Employee Benefits,Connecticut
777,52530,,Tuition Reimbursement for Substitute Teachers,Employee Benefits,Tuition,Employee Benefits,Connecticut
778,52600,,Unemployment Compensation,Employee Benefits,Unemployment Benefits,Employee Benefits,Connecticut
779,52610,,Unemployment Compensation for Teachers,Employee Benefits,Unemployment Benefits,Employee Benefits,Connecticut
780,52620,,Unemployment Compensation for Instr Aides or Assistants,Employee Benefits,Unemployment Benefits,Employee Benefits,Connecticut
781,52630,,Unemployment Compensation for Substitute Teachers,Employee Benefits,Unemployment Benefits,Employee Benefits,Connecticut
782,52700,,Workers' Compensation,Employee Benefits,Workers Compensation,Employee Benefits,Connecticut
783,52710,,Workers' Compensation for Teachers,Employee Benefits,Workers Compensation,Employee Benefits,Connecticut
784,52720,,Workers' Compensation for Instr Aides or Assistants,Employee Benefits,Workers Compensation,Employee Benefits,Connecticut
785,52730,,Workers' Compensation for Substitute Teachers,Employee Benefits,Workers Compensation,Employee Benefits,Connecticut
786,52800,,Health Insurance,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Connecticut
787,52810,,Health Insurance for Teachers,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Connecticut
788,52820,,Health Insurance for Instr Aides or Assistants,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Connecticut
789,52830,,Health Insurance for Substitute Teachers,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Connecticut
790,52900,,Other Employee Benefits,Employee Benefits,Other Employee Benefits,Employee Benefits,Connecticut
791,52910,,Other Employee Benefits for Teachers,Employee Benefits,Other Employee Benefits,Employee Benefits,Connecticut
792,52920,,Other Employee Benefits for Instr Aides or Assistants,Employee Benefits,Other Employee Benefits,Employee Benefits,Connecticut
793,52930,,Other Employee Benefits for Substitute Teachers,Employee Benefits,Other Employee Benefits,Employee Benefits,Connecticut
794,52950,,Disability Insurance,Employee Benefits,Other Employee Benefits,Employee Benefits,Connecticut
795,53020,,Legal Services,Purchased Professional Services,Purchased Professional Services,Purchased Professional and Technical Services,Connecticut
